"Pitcher","Rank","Factor"
"Stephen Strasburg",0.607999751839412,0.912180329433805
"Steven Brault",0.469727400594477,0.997471925909367
"Steven Matz",0.489203814766821,1.05220492935113
"Steven Wright",0.505096753994451,0.999136805325572
"Taijuan Walker",0.532556379817943,1.00784327784744
"Tanner Roark",0.525445239071403,0.96954162448184
"Tim Adleman",0.467840738265187,1.07291811037967
"Tim Melville",0.500338567463291,1.00996281043012
"TJ McFarland",0.497796798986021,1.00505403885449
"Tom Koehler",0.458759461644644,1.0864861961757
"Tommy Milone",0.437442103969773,0.990857750161178
"Travis Wood",0.444853133215249,1.02300651771364
"Trevor Bauer",0.582778942773844,0.938386510040784
"Trevor Cahill",0.500927487966029,0.926790405107885
"Trevor Williams",0.492302188281191,0.964665417615025
"Troy Scribner",0.497396038373148,1.02428489547928
"Ty Blach",0.42851560262964,1.02479009603245
"Tyler Anderson",0.541591250512065,0.932305854531555
"Tyler Chatwood",0.522605071040298,1.02731285573269
"Tyler Danish",0.490338407270879,1.00004686002997
"Tyler Glasnow",0.457049164056191,1.01270397530523
"Tyler Mahle",0.510171651482505,0.994160455330968
"Tyler Pill",0.493721227871371,1.02437619140013
"Tyler Skaggs",0.557971322204783,0.987607901285492
"Tyler Wilson",0.50000830564784,0.998374050952795
"Tyson Ross",0.50282577851697,1.0577552907941
"Ubaldo Jimenez",0.504037237554042,1.05166890416918
"Vance Worley",0.456730993204021,1.06167108322541
"Vince Velasquez",0.471936629339811,0.986739107926075
"Wade Miley",0.499999145813651,1.06094431573785
"Wei-Yin Chen",0.513990102093941,0.962676168672712
"Wily Peralta",0.460575851598541,0.969219722834201
"Yovani Gallardo",0.471986559561101,1.07734446179034
"Yu Darvish",0.673510103838191,0.942357262813334
"Yusmeiro Petit",0.502523364043247,1.00072997895333
"Zach Davies",0.534036732627227,1.03331457922722
"Zach Eflin",0.40851559795247,1.03609055311865
"Zach Lee",0.491291835549551,0.998001478089217
"Zack Godley",0.570780312819279,0.940958402349056
"Zack Greinke",0.610706519142051,0.918779376484234
"Zack Wheeler",0.502724049861309,1.04226612060773
