"pitcher","totalPitcherStrikeoutRate","totalPitcherWalkRate","totalPitcherwOBA","throws","inningsPerStart","Rank","Factor"
112526,0.137592948060124,0.0651718701066722,0.390772952305644,"R",5.4,0.446171474579144,1.08300992331021
279571,0.203285485274858,0.0865314821103221,0.381712324253867,"R",5.4,0.5,1
282332,0.216320868008639,0.0881134858474298,0.364773477103721,"L",5.1375,0.541698008911546,0.986496554916579
407822,0.21151548174745,0.0959682191898739,0.383061225337841,"L",5.4,0.5,1
407845,0.238605167991867,0.117553710061827,0.378529917998163,"R",5.4,0.5,1
408314,0.208257463481202,0.101972583149785,0.384540627533827,"R",5.4,0.5,1
424144,0.299176472957295,0.0663889176050273,0.375715029117496,"L",5.4,0.5,1
425492,0.233492409356541,0.083325899036132,0.381128154675947,"R",5.4,0.5,1
425772,0.225359801470171,0.0961035157400195,0.383362778396151,"R",5.4,0.5,1
425794,0.198356937641926,0.109080567474671,0.382417644448753,"R",5.21,0.551139199146454,1.05781569781864
425844,0.212576830390832,0.0755077764763402,0.376640966681334,"R",6.47272727272727,0.554229325508053,0.916995835233798
429719,0.167915666975483,0.101214299583686,0.389324287242665,"R",5,0.45141052281294,1.00369530612418
429722,0.140748274093301,0.0992910978578977,0.395111186421195,"R",5,0.457171649986251,1.02572299616279
430641,0.155540290207588,0.100193244985931,0.382640479833254,"R",5.4,0.5,1
430935,0.227770665994809,0.0996278374057676,0.38610131388644,"L",5.82,0.570848064616782,0.963365602596571
431145,0.220396855501289,0.0956757215056016,0.380920033104688,"R",5.4,0.5,1
433586,0.18953883038457,0.119367746591281,0.377497855969729,"R",5.4,0.5,1
433587,0.195905183427701,0.0795803167819361,0.389155001390366,"R",5,0.480228618728241,1.06677814469608
433589,0.184407505753777,0.0660168160650811,0.37406627911807,"R",5.4,0.5,1
434378,0.318944866960844,0.0559996124010794,0.361958820178258,"R",6.55454545454545,0.67315848217238,0.923735530398107
434538,0.22601937373096,0.119150336521168,0.380272972715339,"L",5.4,0.400754484409804,0.983729129740124
434628,0.173794842642872,0.0738272436752768,0.39194893472396,"R",5.4,0.407181897411033,0.970980266383277
434671,0.213968933068723,0.101129628526457,0.370591848125322,"R",5,0.482219049225275,1.0392235497411
434778,0.203870347849756,0.105603604188286,0.38137864191845,"R",5.4,0.5,1
435043,0.178388043891218,0.106029622833432,0.369514026620465,"L",5.4,0.5,1
435221,0.18330733462862,0.0780072970774512,0.387649097381849,"R",5.4,0.526313666101708,0.976734970413904
444468,0.238149385014211,0.0893272576668674,0.369966448598677,"R",5.4,0.5,1
445197,0.193149827780419,0.121219148852804,0.376098562602606,"L",5.4,0.5,1
445213,0.20663698178725,0.0813180970050241,0.38296167307419,"R",5.4,0.5,1
445276,0.310268430489062,0.0696298358251719,0.368588851790375,"R",5.4,0.5,1
445926,0.218223324447945,0.0917542021309408,0.379968105177662,"R",5,0.500280717498627,1.00133519248568
446099,0.219819933977821,0.100183649614172,0.37436409974476,"R",5.4,0.499744567787642,1.00206185564067
446321,0.209900683659419,0.0925875295899477,0.382420221829934,"L",5.4,0.5,1
446372,0.238687773672935,0.0830165650332115,0.378757438471364,"R",5.02857142857143,0.568804785508328,0.88909006121767
446399,0.168545333283472,0.104270718760036,0.383645370156565,"L",5.4,0.5,1
446899,0.177009975352056,0.0877245877140893,0.37611207961907,"R",5.4,0.5,1
448167,0.182959298773546,0.102474862743638,0.383118898386405,"L",5.4,0.5,1
448178,0.184752161173052,0.112580636709654,0.382389692305307,"R",5.4,0.5,1
448179,0.259855619102385,0.0783948359812445,0.37590297121523,"L",5.4,0.607984650442527,1.00068195146297
448281,0.30261078992545,0.0650060998246097,0.375861708110735,"L",5.4,0.5,1
448306,0.1892010324458,0.102564396403908,0.383342994522939,"R",5.4,0.406943636722813,0.981683965582903
448609,0.212020052604491,0.103292137698943,0.37927420178153,"L",5.4,0.5,1
448614,0.226798243489411,0.0936232388443048,0.384378330368911,"R",5.4,0.5,1
448801,0.224311279065072,0.0951218109533431,0.384277348829954,"R",5.4,0.5,1
448802,0.208589749818339,0.112103668006591,0.382892831346405,"L",5.4,0.483517902512706,1.00646334783688
448855,0.229245034549128,0.108620648672256,0.376591904205354,"R",5.4,0.547516176607004,0.97175001290088
450172,0.216584731960346,0.110648493258975,0.384367226815367,"R",5,0.484248922286551,0.990917366113157
450203,0.300281412622288,0.0954504389120416,0.36276346750379,"R",5.46363636363636,0.601683101411838,0.928365168926481
450212,0.165518543543966,0.0685283184583962,0.377290341753929,"R",5.4,0.5,1
450306,0.17884431693811,0.104345648985639,0.383001168988704,"L",5,0.473330519964686,1.01797955601804
450665,0.203874961745978,0.104724711197101,0.38166337432024,"R",5.4,0.495633981516973,1.00103716399806
