"HomeTeam","Factor"
"Rays",0.93
"Diamondbacks",1.12
"Cardinals",0.95
"Nationals",0.98
"Mets",0.94
"RedSox",1.08
"Brewers",1.01
"Orioles",1.04
"Twins",1.05
"Reds",1.04
"Dodgers",0.94
"Rangers",1.15
"Astros",0.94
"Athletics",0.98
"WhiteSox",1.01
"Pirates",0.98
"Tigers",1.07
"Phillies",0.99
"Rockies",1.32
"Padres",0.92
"Angels",0.96
"Yankees",1.05
"Royals",1.03
"Giants",0.92
"Mariners",0.97
"Indians",1.05
"BlueJays",1.05
"Marlins",0.92
"Cubs",1
"Braves",1.02
