"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
596144,0.219063089071802,0.0754180181718055,0.318076776282746,596144,"R",-0.00418974358974359,0
502570,0.212612086067019,0.0824091682281932,0.355553530332217,502570,"R",0,0
518618,0.248799205263583,0.0670869549976009,0.385134101035152,518618,"L",0.000340902903811252,-0.00946713633860326
519076,0.398770585180017,0.0605585112332333,0.32927085250276,519076,"R",0,0
514917,0.20570125389821,0.119165986688743,0.342634354498039,514917,"S",-6.52963409021923e-05,0.000868166279534646
518452,0.298696442895564,0.0832720191902752,0.324280935892212,518452,"R",0,0
518397,0.25154512739924,0.0837643627479945,0.351809060673251,518397,"L",0,0
519242,0.226431146226415,0.0838576316149068,0.36314240868246,519242,"L",0,0
571679,0.22638799270624,0.0815584987367147,0.351058760573401,571679,"R",-0.00225094339622642,0
542208,0.239484407565395,0.0653509906130663,0.305863349915705,542208,"R",0,0
542963,0.279257317050413,0.0816131093535767,0.362198672634666,542963,"L",0,0
570482,0.16527881906972,0.0531195823165285,0.312629744816587,570482,"R",-0.00505454545454545,0
534606,0.271618896093328,0.0726354265389652,0.352764134233957,534606,"R",-0.00118333333333333,0
570489,0.310715088505855,0.0515240020537527,0.316404722422495,570489,"S",0.00231666666666667,0
571800,0.228059320754717,0.0897267834780725,0.36114475252961,571800,"L",0,0
572816,0.168587040241926,0.0382052751654416,0.38191253389309,572816,"L",-0.00269129115872301,0.000462844462970494
572669,0.260847225847341,0.0974949072437442,0.391700170907084,572669,"R",0.00685901639344262,0
573135,0.268445821759597,0.0806914786039024,0.323762715308778,573135,"R",-0.000602688240866382,0
592314,0.462169946619467,0.0361238756616117,0.293446622670884,592314,"R",0,0
595777,0.154579800002426,0.0809776270078459,0.334771586899025,595777,"S",0.00175690235690236,-0.000491877986034546
576397,0.199703874763042,0.0941055210775403,0.365108392916976,576397,"R",-0.0057275845305696,0.00322941662907833
592879,0.3351396136404,0.0731259485657232,0.357560961549547,592879,"R",0,0
592743,0.0840111234940734,0.0655214173912053,0.322565109668862,592743,"R",0.00112358320453375,0.016333248677083
592741,0.231150166666667,0.0829383226490279,0.358624074074074,592741,"L",0,0
592419,0.26831585748275,0.0742828601134867,0.338702513860409,592419,"L",0,0
548357,0.217283950617284,0.0840401091385525,0.361221391873872,548357,"R",0,0
594807,0.271348910820063,0.0768500318465963,0.370923539234765,594807,"R",0.00128689284718879,0.0008584129473357
594824,0.186464388282785,0.0994594915302176,0.311820157977821,594824,"L",0.00253096816976127,0
594838,0.236069042883111,0.0621273672874259,0.302291922673404,594838,"R",0,0
594798,0.286312253720716,0.0494883011032776,0.31291994847258,594798,"L",0,0
594772,0.225925925925926,0.0925740197757891,0.366572960600154,594772,"R",0,0
534947,0.25713411865562,0.0581461672143741,0.316630567530437,534947,"R",0,0
594828,0.211903220935492,0.0765877875645517,0.365576905660399,594828,"R",-0.00603380521917107,0
400085,0.170956709663053,0.0659523867807778,0.288882129971486,400085,"L",-0.000437209302325581,0
594992,0.223351692307692,0.0822664219144362,0.361706826934298,594992,"R",0,0
595281,0.246214578346143,0.0756002890861217,0.345211875893788,595281,"L",0.00561816487278894,0.0097301233397534
596271,0.226718007898894,0.083641946722713,0.354834146341463,596271,"R",0,0
518568,0.198695602183584,0.0722745196960663,0.298363573613617,518568,"R",0,0
519237,0.319435889152859,0.096420588370481,0.405641394920869,519237,"R",-0.00334924471299094,0.00259025497263383
570717,0.205573593073593,0.0835680915880344,0.350054135731177,570717,"L",0,0
592710,0.240500196724012,0.0647546687094104,0.335762684056181,592710,"R",0.00295932203389831,0
462136,0.259474885844749,0.0816691956112685,0.358114814814815,462136,"R",0,0
592826,0.219129936221448,0.0602101288656722,0.316761675863618,592826,"R",0,0
592592,0.223768232192414,0.0555787583396913,0.369530996196786,592592,"L",0,0
594777,0.241222871409574,0.0964220238723161,0.36586504950586,594777,"L",-0.00143823627177237,-0.00127914889196626
506924,0.210520926890625,0.0835987689248917,0.346088701501729,506924,"R",0,0
594809,0.171776393990858,0.0945930824924034,0.347350349981184,594809,"L",0.00642298560242486,-0.00304650283553875
502273,0.274884704871374,0.0797125303042201,0.328663895171814,502273,"L",0,0
518466,0.379501187711001,0.123887141461585,0.395319969863937,518466,"R",-0.00185641025641026,0
519333,0.229205207327917,0.101992659682654,0.293915081394709,519333,"R",0.000138396624472574,0
570731,0.233298131953345,0.0466493647708095,0.353938125739762,570731,"R",-0.0032956753160346,0.000460420270157781
570810,0.239554170750988,0.0886249261250684,0.355798310947138,570810,"S",0,0
571437,0.295983597473684,0.101664171828451,0.398019861608684,571437,"R",-0.00368776188042923,0
593160,0.161606476002318,0.0716104370262989,0.370891483423308,593160,"R",0.00550781078107811,0.00101599261409858
592407,0.185142133426594,0.0595549626362789,0.304639772988081,592407,"R",-0.00523855421686747,0
506703,0.237455847973025,0.0517639639364091,0.357817201162415,506703,"R",0,0
545350,0.350244458451985,0.0687971749942421,0.39272058043932,545350,"R",0.00613490511788384,0.00183324576945625
542583,0.254139577535424,0.0894701679332515,0.448646510968609,542583,"R",-0.00316376898867213,-0.00741615028422994
518735,0.23070254107569,0.11885551878043,0.392388899973044,518735,"S",-0.00784402826062577,0.00830478349036937
518649,0.324243250575006,0.0807303912690437,0.394616076555024,518649,"R",0,0
592261,0.217490406060075,0.0989146719012151,0.278634797080383,592261,"R",0.0102805227851029,0.00249470510191774
544925,0.28803534111281,0.0898186662416438,0.344761982497528,544925,"L",0,0
591720,0.151427381624639,0.020692967464606,0.309580508176277,591720,"R",0.00153235294117647,0
500779,0.35373059337172,0.0543206507167915,0.290852165600872,500779,"R",0,0
592145,0.217425066666667,0.0830410611570248,0.363462110753785,592145,"L",0,0
592127,0.214634146341463,0.0846262703886196,0.36062037037037,592127,"R",0,0
596142,0.241819141563451,0.103170631268068,0.403876380550065,596142,"R",-0.00181408199643494,0.00963041928200065
592192,0.219311316646144,0.0788708945712133,0.38448932399309,592192,"R",-0.00177445385586219,0
574847,0.24914064,0.0727450109044275,0.353370376534221,574847,"R",0,0
594840,0.277166684388834,0.0792099533787832,0.35717001349971,594840,"L",0,0
595918,0.249174079987835,0.0859391105388216,0.35140482727769,595918,"R",0,0
547172,0.168372649357528,0.0986094434791938,0.281740825947239,547172,"L",-0.00085219298245614,0.00497450946937383
553988,0.183739420715936,0.0690452983922748,0.300821785748827,553988,"R",-0.00391136034903848,0.0032757948906451
546318,0.213155989910071,0.0575307234414185,0.342697120104056,546318,"L",0.00101831954324613,-3.89063259478909e-05
592885,0.201775470051078,0.0994263409265659,0.459808966193842,592885,"L",0.00594274000154715,-0.00190640429298009
571951,0.254984641332639,0.0731794687889124,0.349813330366084,571951,"L",0,0
592662,0.374096227230759,0.0570574202430699,0.324209097569699,592662,"L",0,0
572191,0.309457266306818,0.0682354013160314,0.370130497021508,572191,"R",0.00682066498316498,0.00702691932319292
592518,0.151712289785667,0.0791566838113089,0.403403598743642,592518,"R",-0.0025438482451299,0.000800729927007299
592230,0.287877170510134,0.0831262655454316,0.328854866525479,592230,"S",0.00237456575682382,0
547180,0.249036861396954,0.144653227013694,0.444598315099682,547180,"L",-0.000967666842136047,-0.00806326470414725
570632,0.43387038205239,0.0371020165359949,0.308356478679989,570632,"R",0,0
461865,0.258184428733703,0.0553084661887649,0.305604011183043,461865,"S",0.00283566289374397,0
592547,0.222553671604938,0.0824885950413223,0.363935326300102,592547,"R",0,0
570560,0.199559933130666,0.0649407537113865,0.330588012339209,570560,"S",-0.00139918983445919,0.00461886555741998
575929,0.219828741694745,0.0830094549075547,0.35845177119267,575929,"R",-0.00872345382078065,0.0116775893103914
594011,0.194828870015775,0.0839429707019702,0.322761401598716,594011,"S",-0.000136423841059603,0
592273,0.227600182494038,0.0661121151093948,0.344112599393256,592273,"R",-0.000891666666666667,4.35058078141499e-05
592620,0.255988030232803,0.0752702270421767,0.379202540746616,592620,"L",0.000784180790960452,0
592791,0.29613030277856,0.0394595263664529,0.274652036163009,592791,"R",0,0
553869,0.152080042846037,0.0720658150478831,0.34905727868727,553869,"R",-0.00481958483754513,0.00479031141868512
593372,0.245889190057098,0.0395199270455723,0.314188744366656,593372,"R",0,0
592468,0.249302596376138,0.0804324532461198,0.342021494852835,592468,"R",0,0
518774,0.289914665188246,0.0557790882411454,0.289009371507949,518774,"R",0,0
518748,0.226884400966184,0.0828906757522494,0.354599390243902,518748,"R",0,0
592206,0.226624613723366,0.0595735606072154,0.440015102715888,592206,"R",-5.33457537649434e-05,-0.00999572264993432
