Name,BattingOrder,Team,playerid
Pitcher,9,Nationals,NA
Dee Gordon,1,Marlins,8203
Martin Prado,2,Marlins,3312
Giancarlo Stanton,3,Marlins,4949
Christian Yelich,4,Marlins,11477
Marcell Ozuna,5,Marlins,10324
Adeiny Hechavarria,6,Marlins,10459
Justin Bour,7,Marlins,9744
J.T. Realmuto,8,Marlins,11739
Pitcher,9,Marlins,NA
Odubel Herrera,1,Phillies,11476
Cesar Hernandez,2,Phillies,10556
Tommy Joseph,3,Phillies,10349
Michael Saunders,4,Phillies,9981
Maikel Franco,5,Phillies,12179
Howie Kendrick,6,Phillies,4229
Freddy Galvis,7,Phillies,6609
Cameron Rupp,8,Phillies,11146
Pitcher,9,Phillies,NA
Curtis Granderson,1,Mets,4747
Asdrubal Cabrera,2,Mets,4962
Yoenis Cespedes,3,Mets,13110
Jay Bruce,4,Mets,9892
David Wright,5,Mets,3787
Neil Walker,6,Mets,7539
Lucas Duda,7,Mets,2502
Travis d'Arnaud,8,Mets,7739
Pitcher,9,Mets,NA
Kyle Schwarber,1,Cubs,16478
Kris Bryant,2,Cubs,15429
Anthony Rizzo,3,Cubs,3473
Ben Zobrist,4,Cubs,7435
Addison Russell,5,Cubs,14106
Jason Heyward,6,Cubs,4940
Willson Contreras,7,Cubs,11609
Javier Baez,8,Cubs,12979
Pitcher,9,Cubs,NA
Billy Hamilton,1,Reds,10199
Joey Votto,2,Reds,4314
Jose Peraza,3,Reds,13593
Scott Schebler,4,Reds,12225
Eugenio Suarez,5,Reds,12552
Zack Cozart,6,Reds,2616
Adam Duvall,7,Reds,10950
Tucker Barnhart,8,Reds,10200
Pitcher,9,Reds,NA
Keon Broxton,1,Brewers,9253
Domingo Santana,2,Brewers,10348
Ryan Braun,3,Brewers,3410
Eric Thames,4,Brewers,NA
Jonathan Villar,5,Brewers,10071
Travis Shaw,6,Brewers,11982
Orlando Arcia,7,Brewers,13185
Jett Bandy,8,Brewers,12508
Pitcher,9,Brewers,NA
Dexter Fowler,1,Cardinals,4062
Matt Carpenter,2,Cardinals,8090
Aledmys Diaz,3,Cardinals,15937
Stephen Piscotty,4,Cardinals,13367
Yadier Molina,5,Cardinals,7007
Kolten Wong,6,Cardinals,12532
Jhonny Peralta,7,Cardinals,1738
Randal Grichuk,8,Cardinals,10243
Pitcher,9,Cardinals,NA
Gregory Polanco,1,Pirates,12907
Adam Frazier,2,Pirates,15223
Andrew McCutchen,3,Pirates,9847
Josh Harrison,4,Pirates,8202
Josh Bell,5,Pirates,13145
David Freese,6,Pirates,9549
Jordy Mercer,7,Pirates,6547
Francisco Cervelli,8,Pirates,5275
Pitcher,9,Pirates,NA
Corey Seager,1,Dodgers,13624
Andrew Toles,2,Dodgers,13414
Adrian Gonzalez,3,Dodgers,1908
Justin Turner,4,Dodgers,5235
Logan Forsythe,5,Dodgers,7185
Joc Pederson,6,Dodgers,11899
Yasiel Puig,7,Dodgers,14225
Yasmani Grandal,8,Dodgers,11368
Pitcher,9,Dodgers,NA
A.J. Pollock,1,Diamondbacks,9256
Chris Owings,2,Diamondbacks,10030
Paul Goldschmidt,3,Diamondbacks,9218
Jake Lamb,4,Diamondbacks,13329
Yasmany Tomas,5,Diamondbacks,17171
Brandon Drury,6,Diamondbacks,11615
David Peralta,7,Diamondbacks,2136
Jeff Mathis,8,Diamondbacks,3448
Pitcher,9,Diamondbacks,NA
Charlie Blackmon,1,Rockies,7859
Trevor Story,2,Rockies,12564
Carlos Gonzalez,3,Rockies,7287
Nolan Arenado,4,Rockies,9777
Tony Wolters,5,Rockies,11470
DJ LeMahieu,6,Rockies,9874
Gerardo Parra,7,Rockies,8553
Mark Reynolds,8,Rockies,7619
Pitcher,9,Rockies,NA
Travis Jankowski,1,Padres,13768
Wil Myers,2,Padres,10047
Yangervis Solarte,3,Padres,5352
Ryan Schimpf,4,Padres,9953
Hunter Renfroe,5,Padres,15464
Alex Dickerson,6,Padres,12649
Erick Aybar,7,Padres,4082
Austin Hedges,8,Padres,12976
Pitcher,9,Padres,NA
Denard Span,1,Giants,8347
Brandon Belt,2,Giants,10264
Hunter Pence,3,Giants,8252
Buster Posey,4,Giants,9166
Brandon Crawford,5,Giants,5343
Eduardo Nunez,6,Giants,6848
Jarrett Parker,7,Giants,11624
Joe Panik,8,Giants,11936
Pitcher,9,Giants,NA
