"pitcher","totalPitcherStrikeoutRate","totalPitcherWalkRate","totalPitcherwOBA","throws","inningsPerStart","Rank","Factor"
453329,0.179615608393564,0.0736349245621613,0.369055562563646,"R",6.13125,0.557338638771907,0.995937624391952
453343,0.180538374487729,0.0962829166598389,0.374636907225028,"R",5.4,0.5,1
453344,0.236212182807051,0.0912781721910655,0.373543094842378,"R",5.4,0.5,1
453385,0.153602620565857,0.101981396830652,0.381511844287524,"L",5.85925925925926,0.459610799237084,0.948424255515702
453562,0.175423964878955,0.0964929871398713,0.373774431796797,"R",5.55483870967742,0.543105156497674,1.00211902317519
455119,0.217814755687981,0.0722336555828376,0.378519710460073,"R",5.4,0.5,1
456034,0.246740158403006,0.0793284405438264,0.380563720640463,"L",5.86666666666667,0.637029105762017,0.988235525433266
456068,0.166889017060751,0.0979941089322994,0.377702008559343,"R",5,0.42854809324541,1.00721865850446
456124,0.213297652655889,0.102737576057299,0.373067081438407,"R",5.4,0.5,1
456488,0.215649252682927,0.100510364788732,0.373552329057105,"R",5.4,0.5,1
456501,0.19507086603905,0.0942787029726491,0.37404568805081,"R",5.88888888888889,0.523856619888847,0.939891682109468
456696,0.198886612436598,0.0835475640047559,0.367537883280685,"R",5.4,0.5,1
456701,0.218024319887743,0.0793284410682265,0.393344964032183,"R",5.305,0.444869949159167,1.04005076940009
456713,0.195495204441369,0.0998528423041517,0.372543561147056,"R",5.4,0.5,1
457429,0.236602794048613,0.106590093677484,0.375464969651982,"L",5.4,0.5,1
457754,0.216558718932499,0.109795983736065,0.377477495147785,"R",5.4,0.5,1
457915,0.223368113233623,0.0864014568546266,0.375603823750327,"R",5.4,0.5,1
457918,0.239903917398224,0.0918061602858446,0.381414619407448,"L",5.71612903225806,0.5,1
458006,0.222766188732986,0.0924754538316409,0.375486835299763,"R",5.4,0.5,1
458584,0.239984354236351,0.106408341513408,0.370005803875032,"L",5.4,0.5,1
458677,0.266635735551836,0.1088233220055,0.373610704449115,"L",5.4,0.5,1
458681,0.231942086406101,0.0996469529173533,0.364166495555046,"R",5.14137931034483,0.588691497281523,0.995188049442383
458690,0.160032613396707,0.0872212603373767,0.375673602505522,"R",5,0.482105695925789,1.0079351326011
458708,0.156319486268451,0.0719986967136021,0.386620150280731,"R",5,0.544612742568323,1.00017239661372
458924,0.217857880770943,0.109653579334478,0.371076089079278,"L",5,0.49923160699835,0.996098734114825
459429,0.220599389766516,0.0875213292484723,0.378200441930803,"L",5.4,0.5,1
460060,0.219012951221291,0.104381252130833,0.373206100655946,"R",5.4,0.5,1
460077,0.210066318113208,0.110494211464088,0.373366209070077,"R",5.4,0.5,1
460269,0.210460606593407,0.0996411489099136,0.376657371801322,"R",5.4,0.5,1
460283,0.222887785154485,0.111780767336574,0.371013277637449,"L",5,0.5,1
460576,0.211296530166271,0.11591263592233,0.372647826597463,"R",5.4,0.5,1
461325,0.232977830407351,0.0987342049787086,0.369342145928746,"R",5,0.498356436353395,0.998883513207925
461829,0.179546347305571,0.118844381825942,0.3721712310243,"L",5.34375,0.609544720511604,1.01357816534505
461833,0.213472908087988,0.0873339842607455,0.39010954560998,"R",5,0.465243711818975,1.0588836331667
461865,0.190738651458886,0.104041269846722,0.373095561359267,"R",5.4,0.5,1
461872,0.253017206909907,0.105177481703562,0.375142450671033,"R",5.4,0.5,1
462136,0.14635164603068,0.100916819694576,0.369716491360586,"R",5.11428571428571,0.494354271977124,0.980544122395909
462382,0.175991533331985,0.0927608362612591,0.368551682273352,"R",5,0.5,1
462480,0.228744737532386,0.101610685496261,0.37279391445457,"R",5.4,0.5,1
462515,0.204395312912281,0.103547831639785,0.37235878163755,"R",5.4,0.5,1
465657,0.244889557424503,0.0861377191805007,0.369597018022603,"R",5.4,0.5,1
465753,0.214747817391304,0.100147851190476,0.372013218710057,"R",5.4,0.5,1
467008,0.230745486980515,0.0871753245672949,0.371273865810163,"R",5.4,0.5,1
467055,0.216412237956204,0.0995320557313643,0.3723364969036,"R",5.4,0.5,1
467100,0.16987755196149,0.0702712514188957,0.380164251431063,"R",5.55172413793103,0.478451826050677,1.00806622202187
468396,0.216953473092476,0.108112050908736,0.373387554690308,"R",5.4,0.5,1
468504,0.182204560883233,0.113955838669925,0.368118997140357,"R",5.49142857142857,0.560388405100638,0.972389723082744
471911,0.291753273018022,0.0750930018345729,0.385257854411132,"R",6.20666666666667,0.662911497410576,0.963360675201062
472610,0.200552148461256,0.0990282133784878,0.370926899654764,"R",5.4,0.5,1
473879,0.205070633211145,0.0794669449237772,0.363718258475899,"R",5.4,0.5,1
474463,0.148309806788238,0.0782259192817453,0.363765612795038,"L",5,0.529273025479567,1.00195876260182
475054,0.258429917163199,0.0939383482949624,0.371172253480452,"R",5.4,0.5,1
475115,0.19668778497233,0.109085767602404,0.37358885019369,"R",5.61304347826087,0.452142832836165,1.00024320085383
475857,0.261580119252431,0.0969166089258095,0.374035286040579,"R",5.4,0.5,1
476451,0.164460692231486,0.088616474016584,0.372719576809002,"R",5,0.56096146233186,1.02841091787363
476454,0.369224174745272,0.0959428647408505,0.36823351812858,"R",5.4,0.5,1
476589,0.223065316551865,0.111250428273717,0.378260932515524,"R",5.4,0.5,1
476594,0.217232099700879,0.108387624344227,0.365395175817799,"R",5.4,0.5,1
477132,0.222316105628477,0.0656973413356665,0.364401290710628,"L",6.19615384615385,0.673202211244067,0.920468206104417
477569,0.195197407379635,0.0897900480755295,0.371382880851257,"R",5.4,0.5,1
487675,0.224395353104705,0.0987004287331546,0.372428493120215,"L",5.4,0.5,1
488671,0.214466446601942,0.0980494747191011,0.372096212844456,"R",5.4,0.5,1
488748,0.245856130951373,0.105857605045257,0.372510967709022,"L",5.4,0.5,1
488768,0.12860098992479,0.110078919769651,0.381201106436037,"R",5.46428571428571,0.410223991338003,0.982232895385388
488786,0.199177272877895,0.111627256553445,0.365512514643941,"R",5.4,0.5,1
488818,0.213373165384615,0.0996706550279329,0.372350051181751,"R",5.4,0.5,1
488846,0.163963244600737,0.117521166107394,0.369333473197318,"L",5.4,0.5,1
488984,0.192682363633832,0.0750256658631513,0.370599113986591,"R",5.4,0.5,1
489119,0.149456670896914,0.0937278034238876,0.360532891933383,"L",5.0125,0.538576435691708,1.0001853007332
489265,0.233128204199299,0.0998792398592858,0.365708586865104,"R",5,0.498208830613032,0.989889260160459
489334,0.253202831074505,0.0722615307611381,0.365441494749662,"R",5.4,0.5,1
489446,0.346034209613525,0.0844821134864785,0.369689171494238,"R",5.4,0.5,1
